nombre_nota,accidente,numero_octava,duracion,bloque
Re,natural,5,4,1
Sol,natural,4,1,1
La,natural,4,1,1
Si,natural,4,1,1
Do,natural,5,1,1
Re,natural,5,4,1
Sol,natural,4,2,1
Sol,natural,4,2,1
Mi,natural,5,4,1
Do,natural,5,1,1
Re,natural,5,1,1
Mi,natural,5,1,1
Fa,sostenido,5,1,1
Sol,natural,5,4,1
Sol,natural,4,2,1
Sol,natural,4,2,1
Do,natural,5,4,1
Re,natural,5,1,1
Do,natural,5,1,1
Si,natural,4,1,1
La,natural,4,1,1
Si,natural,4,4,1

Do,natural,5,1,0
Si,natural,4,1,0
La,natural,4,1,0
Sol,natural,4,1,0
Fa,sostenido,4,2,0
Sol,natural,4,1,0
La,natural,4,1,0
Si,natural,4,1,0
Sol,natural,4,1,0
La,natural,4,8,0

Do,natural,5,1,2
Si,natural,4,1,2
La,natural,4,1,2
Sol,natural,4,1,2
La,natural,4,2,2
Si,natural,4,1,2
La,natural,4,1,2
Sol,natural,4,1,2
Fa,sostenido,4,1,2
Sol,natural,4,8,2

Si,natural,5,4,2
Sol,natural,5,1,2
La,natural,5,1,2
Si,natural,5,1,2
Sol,natural,5,1,2
La,natural,5,2,2
Re,natural,5,1,2
Mi,natural,5,1,2
Fa,sostenido,5,1,2
Re,natural,5,1,2
Sol,natural,5,2,2
Mi,natural,5,1,2
Fa,sostenido,5,1,2
Sol,natural,5,1,2
Re,natural,5,1,2
Re,bemol,5,2,2
Si,natural,5,1,2
Re,bemol,5,1,2
La,natural,4,4,2
Si,natural,4,1,2
Re,bemol,5,1,2
Re,natural,5,1,2
Mi,natural,5,1,2
Fa,sostenido,5,1,2
Sol,natural,5,8,2
